firm,crste,vrste,scale,label
361,0.061,0.066,0.930,drs
362,0.064,0.066,0.971,irs
363,0.045,0.055,0.816,drs
364,0.035,0.058,0.610,drs
365,0.035,0.053,0.653,drs
366,0.033,0.057,0.588,drs
367,0.047,0.058,0.806,drs
368,0.031,0.058,0.538,drs
369,0.025,0.057,0.438,drs
370,0.027,0.059,0.464,drs
371,0.031,0.059,0.533,drs
372,0.024,0.059,0.403,drs
373,0.029,0.058,0.493,drs
374,0.026,0.056,0.465,drs
375,0.016,0.048,0.334,drs
376,0.019,0.048,0.390,drs
377,0.016,0.046,0.356,drs
378,0.015,0.046,0.320,drs
379,0.383,0.490,0.781,irs
380,0.303,0.322,0.941,irs
381,0.394,0.548,0.719,irs
382,0.266,0.270,0.986,irs
383,0.256,0.256,0.999,-
384,0.180,0.230,0.783,drs
385,0.203,0.237,0.859,drs
386,0.204,0.240,0.851,drs
387,0.114,0.239,0.478,drs
388,0.105,0.242,0.436,drs
389,0.145,0.247,0.587,drs
390,0.137,0.248,0.553,drs
391,0.136,0.250,0.543,drs
392,0.138,0.251,0.547,drs
393,0.149,0.233,0.639,drs
394,0.132,0.233,0.565,drs
395,0.106,0.232,0.457,drs
396,0.114,0.234,0.487,drs
397,0.712,0.713,1.000,-
398,0.868,1.000,0.868,irs
399,0.529,0.676,0.783,drs
400,0.603,0.691,0.873,drs
401,0.624,0.654,0.955,drs
402,0.492,0.660,0.746,drs
403,0.392,0.663,0.592,drs
404,0.506,0.663,0.762,drs
405,0.358,0.661,0.542,drs
406,0.267,0.665,0.402,drs
407,0.353,0.669,0.527,drs
408,0.313,0.667,0.470,drs
409,0.291,0.667,0.436,drs
410,0.301,0.668,0.451,drs
411,0.252,0.655,0.384,drs
412,0.329,0.662,0.497,drs
413,0.229,0.660,0.347,drs
414,0.257,0.669,0.384,drs
415,0.627,0.884,0.709,irs
416,0.500,0.636,0.786,irs
417,0.452,0.464,0.974,irs
418,0.394,0.406,0.969,irs
419,0.386,0.407,0.948,irs
420,0.283,0.335,0.846,drs
421,0.317,0.348,0.911,drs
422,0.341,0.357,0.957,drs
423,0.246,0.355,0.694,drs
424,0.265,0.364,0.729,drs
425,0.325,0.384,0.846,drs
426,0.249,0.392,0.635,drs
427,0.284,0.392,0.726,drs
428,0.275,0.395,0.698,drs
429,0.381,0.399,0.956,drs
430,0.249,0.385,0.647,drs
431,0.257,0.385,0.669,drs
432,0.318,0.384,0.827,drs
433,0.710,1.000,0.710,irs
434,0.448,0.448,1.000,-
435,0.587,0.693,0.847,irs
436,0.457,0.465,0.981,irs
437,0.255,0.409,0.625,drs
438,0.282,0.424,0.666,drs
439,0.279,0.444,0.627,drs
440,0.262,0.450,0.583,drs
441,0.216,0.457,0.473,drs
442,0.170,0.472,0.360,drs
443,0.292,0.496,0.589,drs
